Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
275,180,Nginamu,Ainceer,780,794,Black,794,Black,True,54.0,77.22,86.2,74.08,71.38,20,14,3,1,5,4,7,2,79.72,80.77,88.31,70.06,17,16,5,2,5,3,6,2,79.72,80.77,88.31,70.06,17,16,5,2,5,3,7,2
276,180,Liz_Rys,Ainceer,826,787,Black,787,White,False,54.5,70.62,59.26,54.87,98.35,15,18,4,0,2,2,14,1,72.6,68.14,66.9,82.75,18,15,4,0,2,2,13,1,72.6,68.14,66.9,82.75,18,15,4,0,2,2,14,1
277,180,Ainceer,Edielson93,795,767,White,795,White,True,20.5,73.66,84.78,67.16,69.03,8,2,2,3,2,1,3,1,63.23,92.38,38.42,58.17,4,5,2,0,3,0,6,1,73.66,84.78,67.16,69.03,8,2,2,3,2,1,3,1
278,180,Ainceer,edwinredondo,787,792,White,787,Black,False,39.5,83.04,89.74,70.09,88.78,13,12,4,1,5,2,3,1,82.19,78.42,72.71,95.44,19,8,1,2,4,2,3,1,83.04,89.74,70.09,88.78,13,12,4,1,5,2,3,1
279,180,Ainceer,Maghorh,796,801,White,796,White,True,13.5,79.17,91.55,90.12,50.0,6,3,1,0,2,0,2,2,73.46,99.25,66.53,48.16,3,6,0,0,0,1,3,2,79.17,91.55,90.12,50.0,6,3,1,0,2,0,2,2
280,180,Ainceer,TopGun177,787,768,White,787,Black,False,23.0,64.44,61.97,69.18,61.84,8,5,1,0,1,1,7,2,38.0,30.66,27.9,57.96,5,2,1,0,0,1,14,1,64.44,61.97,69.18,61.84,8,5,1,0,1,1,7,2
281,180,Ainceer,vitormarcos,779,778,White,779,Black,False,12.0,60.5,96.86,71.25,13.38,3,2,2,0,1,0,4,2,76.52,78.53,76.02,75.01,6,3,0,0,0,0,3,2,60.5,96.86,71.25,13.38,3,2,2,0,1,0,4,2
282,180,Vincenzo2018,Ainceer,774,771,Black,771,White,False,11.5,57.06,95.46,25.14,50.59,4,2,1,0,0,0,5,1,61.43,99.55,55.84,18.04,5,1,0,0,0,1,4,2,61.43,99.55,55.84,18.04,5,1,0,0,0,1,5,2
283,180,doublecashmoney,Ainceer,716,778,Black,778,Black,True,16.0,50.54,87.79,47.75,8.63,2,2,1,1,2,1,7,2,69.65,89.86,51.96,63.11,5,4,1,0,1,1,4,1,69.65,89.86,51.96,63.11,5,4,1,0,1,1,7,1
284,180,Bouchain,Ainceer,728,785,Black,785,Black,True,20.0,63.74,73.93,69.74,44.84,7,4,0,0,2,2,5,2,62.6,79.66,70.59,33.36,7,3,0,1,1,2,6,2,62.6,79.66,70.59,33.36,7,3,0,1,1,2,5,2
285,180,Ainceer,Rabbi_Blunderstein,792,733,White,792,White,True,28.5,64.61,84.47,45.99,63.22,9,5,0,2,3,3,7,1,68.12,83.53,58.66,60.45,7,4,3,3,3,2,6,1,64.61,84.47,45.99,63.22,9,5,0,2,3,3,7,1
286,180,Shubham021295,Ainceer,786,784,Black,784,White,False,35.5,56.65,67.36,25.86,76.71,10,5,2,1,4,1,13,1,71.9,77.8,72.76,64.54,19,3,0,0,3,2,8,2,71.9,77.8,72.76,64.54,19,3,0,0,3,2,13,2
287,180,ProbablyABotAttack,Ainceer,829,777,Black,777,White,False,24.5,70.34,62.68,70.71,78.59,8,5,2,1,2,2,5,0,49.03,69.19,34.24,43.67,3,4,2,2,0,3,10,1,49.03,69.19,34.24,43.67,3,4,2,2,0,3,5,1
288,180,Ainceer,ArjunLM,768,764,White,768,Black,False,16.0,54.44,53.41,43.16,66.96,3,3,1,1,1,2,5,1,68.23,57.38,69.96,79.51,6,4,0,0,0,1,5,0,54.44,53.41,43.16,66.96,3,3,1,1,1,2,5,1
