Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
2017,180,Ainceer,luigicerullo,1112,1152,White,1112,Draw,False,59.0,78.63,70.46,69.61,96.72,20,16,5,4,3,2,9,1,79.74,67.44,78.99,93.49,20,23,2,0,3,1,10,0,78.63,70.46,69.61,96.72,20,16,5,4,3,2,9,1
2018,180,Ainceer,sandeep12320,1120,1090,White,1120,White,True,50.5,69.22,76.96,52.7,78.02,17,8,4,3,2,6,11,1,71.4,73.18,56.47,85.37,16,10,3,3,5,6,7,1,69.22,76.96,52.7,78.02,17,8,4,3,2,6,11,1
2019,180,Carreri5,Ainceer,1049,1110,Black,1110,White,False,40.5,54.24,57.26,55.94,49.15,12,7,1,1,0,3,17,2,50.9,56.68,32.46,63.11,9,6,2,0,4,3,16,1,50.9,56.68,32.46,63.11,9,6,2,0,4,3,17,1
2020,180,Hertha69,Ainceer,1030,1100,Black,1100,White,False,63.5,75.6,82.99,57.87,85.58,24,16,2,5,1,4,12,1,72.71,71.28,69.19,77.66,18,14,7,5,5,2,12,1,72.71,71.28,69.19,77.66,18,14,7,5,5,2,12,1
2021,180,Ainceer,youbigdummy,1100,1105,White,1100,Draw,False,41.0,65.2,62.89,60.53,72.7,16,7,2,2,0,1,13,1,66.41,59.71,64.03,76.2,19,5,1,1,1,1,13,0,65.2,62.89,60.53,72.7,16,7,2,2,0,1,13,1
2022,180,Ainceer,Juankrymo,1108,1110,White,1108,White,True,22.0,84.89,93.1,94.01,66.38,8,7,1,1,2,2,1,2,71.34,82.84,62.32,67.24,7,5,0,0,5,0,5,1,84.89,93.1,94.01,66.38,8,7,1,1,2,2,1,2
2023,180,dide4,Ainceer,1027,1114,Black,1114,Black,True,42.0,71.75,89.74,70.03,55.48,13,9,3,3,4,3,7,2,76.03,87.91,67.68,72.49,16,10,4,1,2,0,9,1,76.03,87.91,67.68,72.49,16,10,4,1,2,0,7,1
2024,180,caiosmurf2,Ainceer,1087,1124,Black,1124,Black,True,53.0,66.57,60.55,70.18,69.12,16,11,4,3,2,1,16,0,70.52,70.33,70.67,70.58,22,10,0,2,4,2,13,0,70.52,70.33,70.67,70.58,22,10,0,2,4,2,16,0
2025,180,Ainceer,Laima95,1133,1146,White,1133,White,True,32.5,69.29,89.18,43.4,75.28,10,9,3,1,0,1,9,1,55.44,75.58,41.15,49.02,6,7,1,1,3,2,12,1,69.29,89.18,43.4,75.28,10,9,3,1,0,1,9,1
2026,180,boiisarentgurls,Ainceer,1189,1126,Black,1126,White,False,30.5,78.88,92.71,62.95,79.6,5,12,3,2,6,0,3,1,69.71,86.44,51.25,71.44,8,6,3,3,3,0,7,1,69.71,86.44,51.25,71.44,8,6,3,3,3,0,3,1
2027,180,Ainceer,Gueta158,1133,1069,White,1133,White,True,21.5,85.72,85.3,81.18,90.75,5,10,3,1,1,0,2,1,78.0,97.99,54.3,81.71,3,12,2,0,0,0,4,1,85.72,85.3,81.18,90.75,5,10,3,1,1,0,2,1
2028,180,Ainceer,AkkiRyu,1142,1157,White,1142,White,True,44.5,69.2,75.46,62.86,69.29,10,14,4,1,3,2,11,1,71.4,83.79,63.86,66.21,14,10,3,2,4,2,9,1,69.2,75.46,62.86,69.29,10,14,4,1,3,2,11,1
2029,180,Ainceer,SoakingVet1997,1150,1118,White,1150,White,True,57.5,68.64,65.95,70.93,69.17,22,12,2,1,2,4,15,0,70.75,57.61,77.29,77.35,28,7,5,0,1,1,15,0,68.64,65.95,70.93,69.17,22,12,2,1,2,4,15,0
2030,180,Ainceer,MMnee96,1158,1138,White,1158,White,True,46.5,72.8,77.64,78.88,61.16,18,11,1,3,2,2,10,2,64.25,74.64,56.28,61.15,10,9,7,2,4,2,12,1,72.8,77.64,78.88,61.16,18,11,1,3,2,2,10,2
2031,180,RSI220,Ainceer,1188,1167,Black,1167,Black,True,19.0,81.81,94.01,86.83,62.57,8,6,0,1,1,1,2,2,87.11,85.98,87.91,87.62,8,7,0,0,2,1,1,0,87.11,85.98,87.91,87.62,8,7,0,0,2,1,2,0
2032,180,dk1973,Ainceer,1165,1159,Black,1159,White,False,26.5,64.34,84.48,53.57,54.97,10,5,0,0,3,0,9,1,76.48,76.08,98.51,52.14,9,9,1,0,1,2,4,2,76.48,76.08,98.51,52.14,9,9,1,0,1,2,9,2
2033,180,Souveryruim,Ainceer,1193,1152,Black,1152,White,False,29.5,72.62,91.32,50.47,76.06,10,9,1,2,0,1,7,1,77.46,97.73,70.59,62.56,12,6,3,1,2,0,5,2,77.46,97.73,70.59,62.56,12,6,3,1,2,0,7,2
2034,180,Ainceer,hidanalucard,1160,1139,White,1160,White,True,10.5,88.0,73.87,98.16,93.28,6,3,0,1,0,0,1,0,62.59,74.0,76.65,33.33,2,3,0,1,1,0,3,2,88.0,73.87,98.16,93.28,6,3,0,1,0,0,1,0
2035,180,PureEagle59,Ainceer,1159,1152,Black,1152,White,False,15.5,79.58,88.44,63.64,84.88,5,6,0,0,2,1,2,1,60.17,82.75,71.87,25.88,2,4,1,1,0,3,4,2,60.17,82.75,71.87,25.88,2,4,1,1,0,3,2,2
2036,180,bird_brain,Ainceer,1120,1159,Black,1159,Black,True,3.0,52.07,100.0,56.21,0.0,1,0,0,0,1,0,1,2,78.64,100.0,35.92,100.0,2,0,0,0,0,1,0,1,78.64,100.0,35.92,100.0,2,0,0,0,0,1,1,1
2037,180,sakkoz,Ainceer,1152,1167,Black,1167,Black,True,22.0,67.45,67.93,85.0,49.34,4,6,1,2,3,1,5,2,59.61,63.08,82.25,33.0,2,7,1,2,1,2,7,2,59.61,63.08,82.25,33.0,2,7,1,2,1,2,5,2
2038,180,Ainceer,haruki324,1175,1152,White,1175,White,True,31.5,77.26,93.38,51.52,87.85,11,7,6,1,1,0,6,1,63.92,89.03,29.46,70.75,8,8,1,2,2,1,9,1,77.26,93.38,51.52,87.85,11,7,6,1,1,0,6,1
2039,180,Ainceer,EloGoodboy,1184,1215,White,1184,White,True,34.5,82.32,89.05,75.68,82.21,18,7,2,0,3,1,4,1,70.58,78.37,60.41,72.26,9,7,4,2,3,1,8,1,82.32,89.05,75.68,82.21,18,7,2,0,3,1,4,1
2040,180,Ainceer,DunstanC,1191,1155,White,1191,White,True,4.5,99.35,98.5,99.89,100.0,2,3,0,0,0,0,0,0,97.16,98.0,92.63,100.0,1,3,0,0,0,0,0,1,99.35,98.5,99.89,100.0,2,3,0,0,0,0,0,0
