[INFO extract] | 2000-01-01 00:00:00
[INFO extract] | 2020-11-01 00:00:00
[INFO extract] | 2020-12-01 00:00:00
[INFO extract] | 2021-01-01 00:00:00
[INFO extract] | 2021-02-01 00:00:00
[INFO extract] | 2021-03-01 00:00:00
[INFO extract] | 2021-04-01 00:00:00
[INFO extract] | 2021-05-01 00:00:00
[INFO extract] | 2021-06-01 00:00:00
[INFO extract] | 2021-07-01 00:00:00
[INFO extract] | 2021-08-01 00:00:00
[INFO extract] | 2021-09-01 00:00:00
[INFO extract] | 2021-10-01 00:00:00
[INFO extract] | 2021-11-01 00:00:00
[INFO extract] | 2021-12-01 00:00:00
[INFO extract] | 2022-01-01 00:00:00
[INFO extract] | 2022-02-01 00:00:00
[INFO extract] | 2022-03-01 00:00:00
[INFO extract] | 2022-04-01 00:00:00
[INFO extract] | 2022-05-01 00:00:00
[INFO user_analysis] | 2020-12-07 16:49:13 |267
[INFO user_analysis] | 2020-12-07 16:52:19 |268
[INFO user_analysis] | 2020-12-07 16:57:49 |269
[INFO user_analysis] | 2020-12-07 17:03:48 |270
[INFO user_analysis] | 2020-12-07 17:06:00 |271
[INFO user_analysis] | 2020-12-07 17:10:05 |272
[INFO user_analysis] | 2020-12-07 17:12:41 |273
[INFO user_analysis] | 2020-12-07 22:16:18 |274
[INFO user_analysis] | 2020-12-07 22:22:25 |275
[INFO user_analysis] | 2020-12-07 22:28:53 |276
[INFO user_analysis] | 2020-12-07 22:31:27 |277
[INFO user_analysis] | 2020-12-07 22:36:03 |278
[INFO user_analysis] | 2020-12-07 22:37:37 |279
[INFO user_analysis] | 2020-12-07 22:42:11 |280
[INFO user_analysis] | 2020-12-07 22:43:48 |281
[INFO user_analysis] | 2020-12-08 17:28:38 |282
[INFO user_analysis] | 2020-12-08 17:31:21 |283
[INFO user_analysis] | 2020-12-08 17:34:14 |284
[INFO user_analysis] | 2020-12-08 17:38:26 |285
[INFO user_analysis] | 2020-12-08 17:44:02 |286
[INFO user_analysis] | 2020-12-08 17:47:52 |287
[INFO user_analysis] | 2020-12-08 17:49:40 |288
[INFO user_analysis] | 2020-12-08 17:54:43 |289
[INFO user_analysis] | 2020-12-08 18:00:02 |290
[INFO user_analysis] | 2020-12-08 18:15:00 |291
[INFO user_analysis] | 2020-12-08 18:17:28 |292
[INFO user_analysis] | 2020-12-08 18:18:44 |293
[INFO user_analysis] | 2020-12-08 18:21:07 |294
[INFO user_analysis] | 2020-12-08 21:07:15 |295
[INFO user_analysis] | 2020-12-08 21:13:28 |296
[INFO user_analysis] | 2020-12-08 21:19:42 |297
[INFO user_analysis] | 2020-12-08 21:23:16 |298
[INFO user_analysis] | 2020-12-08 21:28:08 |299
[INFO user_analysis] | 2020-12-08 21:28:44 |300
[INFO user_analysis] | 2020-12-08 21:33:55 |301
[INFO user_analysis] | 2020-12-08 21:38:40 |302
[INFO user_analysis] | 2020-12-08 21:39:22 |303
[INFO user_analysis] | 2020-12-08 21:45:41 |304
[INFO user_analysis] | 2020-12-08 21:49:26 |305
[INFO user_analysis] | 2020-12-08 21:51:34 |306
[INFO user_analysis] | 2020-12-09 17:32:23 |307
[INFO user_analysis] | 2020-12-09 17:37:34 |308
[INFO user_analysis] | 2020-12-09 17:38:51 |309
[INFO user_analysis] | 2020-12-09 17:43:31 |310
[INFO user_analysis] | 2020-12-09 17:44:53 |311
[INFO user_analysis] | 2020-12-09 17:45:38 |312
[INFO user_analysis] | 2020-12-09 18:00:42 |313
